Gene ID	Gene Name	SRR7153131	SRR7153130	SRR7153129	SRR7153128	SRR7153127	SRR7153126
Zm00001eb000940		0	0	0	0	0	0
Zm00001eb000950		1106	1221	1360	423	1065	675
Zm00001eb000960		44	63	63	23	57	26
Zm00001eb000970		182	166	276	174	222	222
Zm00001eb000980		90	83	112	30	72	61
Zm00001eb000990		117	98	103	32	168	75
Zm00001eb001000		715	1011	891	338	440	553
Zm00001eb001010		68	59	84	48	102	76
Zm00001eb001020		11	3	6	6	6	9
Zm00001eb001030		3	3	3	1	3	0
Zm00001eb001040		293	298	345	164	161	183
Zm00001eb001050		15	12	28	11	24	15
Zm00001eb001060		49	76	63	39	28	50
Zm00001eb001070		413	390	466	174	377	274
Zm00001eb001080		4	2	12	5	7	3
Zm00001eb001090		0	0	1	0	0	0
Zm00001eb001100		3	9	3	0	0	1
Zm00001eb001110		1270	1341	1660	683	1334	1063
Zm00001eb001120		6	9	21	9	29	32
Zm00001eb001130		929	547	623	271	383	335
Zm00001eb001140		0	0	1	1	1	3
Zm00001eb001150		0	4	2	1	0	2
Zm00001eb001160		5	6	10	20	3	11
Zm00001eb001170		5	7	10	13	5	12
Zm00001eb001180		77	152	155	71	131	103
Zm00001eb001190		29	42	30	7	81	31
Zm00001eb001200		48	60	81	139	174	166
Zm00001eb001210		0	0	0	0	0	0
Zm00001eb001220		0	0	1	0	2	0
Zm00001eb001230		2	1	1	1	3	1
Zm00001eb001240		1425	1240	1802	630	1629	1042
Zm00001eb001250		0	0	0	0	0	0
Zm00001eb001260		331	473	405	113	193	180
Zm00001eb001270		118	90	121	67	103	84
Zm00001eb001280		4	12	17	4	16	16
Zm00001eb001290		74	187	179	58	143	113
Zm00001eb001300		0	0	0	0	0	0
Zm00001eb001310		0	1	0	0	0	0
Zm00001eb001320		0	0	0	0	0	0
Zm00001eb001330		0	0	0	0	0	0
Zm00001eb001340		62	172	247	147	492	183
Zm00001eb001350		72	81	90	45	86	79
Zm00001eb001360		430	412	482	160	323	224
Zm00001eb001370		32	39	51	22	38	48
Zm00001eb001380		0	1	0	0	0	0
Zm00001eb001390		537	331	652	422	628	646
Zm00001eb001400		1165	1513	1719	451	1407	719
Zm00001eb001410		0	0	1	0	0	0
Zm00001eb001420		0	0	0	0	0	0
Zm00001eb001430		3956	4308	4194	1667	2344	2343
Zm00001eb001440		43	51	61	19	38	28
Zm00001eb001450		0	0	0	0	0	0
Zm00001eb001460		411	437	838	280	1040	457
Zm00001eb001470		130	142	140	71	159	96
Zm00001eb001480		0	1	2	2	0	0
Zm00001eb001490		358	319	296	141	123	145
Zm00001eb001500		13	23	18	11	15	17
Zm00001eb001510		50	69	65	50	65	50
Zm00001eb001520		5	7	9	8	7	12
Zm00001eb001530		0	1	1	0	0	8
Zm00001eb001540		0	0	0	0	0	0
Zm00001eb001550		0	0	0	1	0	1
Zm00001eb001560		60	32	62	34	48	27
Zm00001eb001570		2569	3092	2692	1166	1238	1566
Zm00001eb001580		0	0	0	0	0	0
Zm00001eb001590		1051	874	1119	441	590	618
Zm00001eb001600		34	22	46	14	38	23
Zm00001eb001610		0	0	0	0	0	0
Zm00001eb001620		0	0	0	0	0	0
Zm00001eb001630		0	0	1	1	8	1
Zm00001eb001640		164	160	236	74	191	146
Zm00001eb001650		100	101	136	169	286	237
Zm00001eb001660		0	0	0	0	0	0
Zm00001eb001670		783	590	890	173	286	294
Zm00001eb001680		1496	1551	1677	805	1111	1004
Zm00001eb001690		0	1	2	0	0	0
Zm00001eb001700		527	695	733	331	608	530
Zm00001eb001710		174	188	265	103	178	133
Zm00001eb001720		20	32	39	8	15	30
Zm00001eb001730		0	0	0	0	0	0
Zm00001eb001740		1	1	3	0	4	1
Zm00001eb001750		1	0	0	0	2	0
Zm00001eb001760		39	41	54	49	49	47
Zm00001eb001770		1	5	6	6	9	12
Zm00001eb001780		0	2	6	5	9	12
Zm00001eb001790		0	1	0	0	0	1
Zm00001eb001800		0	1	1	1	1	0
Zm00001eb001810		118	159	292	106	157	105
Zm00001eb001820		25	13	26	12	8	14
Zm00001eb001830		171	273	215	49	179	100
Zm00001eb001840		114	88	161	56	88	63
Zm00001eb001850		0	11	4	0	5	6
Zm00001eb001860		2062	1684	1854	569	1132	859
Zm00001eb001870		484	512	703	328	470	476
Zm00001eb001880		392	541	483	255	286	282
Zm00001eb001890		348	365	390	168	188	228
Zm00001eb001900		773	459	741	465	416	534
Zm00001eb001910		891	998	1015	351	586	517
Zm00001eb001920		0	0	0	0	0	0
Zm00001eb001930		4	139	162	29	57	238
Zm00001eb001940		309	322	346	201	239	247
Zm00001eb001950		0	1	0	0	0	0
Zm00001eb001960		0	0	1	0	0	0
Zm00001eb001970		0	0	0	0	0	0
Zm00001eb001980		146	120	116	37	85	96
Zm00001eb001990		0	0	0	0	0	0
Zm00001eb002000		509	528	608	254	352	359
Zm00001eb002010		446	574	544	290	301	247
Zm00001eb002020		256	255	271	77	145	132
Zm00001eb002030		32	30	62	19	53	32
Zm00001eb002040		291	223	305	87	188	158
Zm00001eb002050		0	0	0	0	0	0
Zm00001eb002060		2606	2954	3554	1059	2926	1966
Zm00001eb002070		128	142	93	84	80	106
Zm00001eb002080		10	8	6	5	2	11
Zm00001eb002090		1	2	5	13	18	11
Zm00001eb002100		237	185	232	156	132	354
Zm00001eb002110		0	0	0	0	0	0
Zm00001eb002120		0	0	0	0	0	0
Zm00001eb002130		0	0	0	0	0	0
Zm00001eb002140		0	0	0	0	0	0
Zm00001eb002150		0	0	0	0	0	0
Zm00001eb002160		95	129	134	87	139	107
Zm00001eb002170		109	132	169	44	126	76
Zm00001eb002180		1509	1136	1546	1073	945	910
Zm00001eb002190		5	4	5	3	9	2
Zm00001eb002200		4	2	15	3	8	6
Zm00001eb002210		0	0	0	0	0	0
Zm00001eb002220		1555	1776	1920	629	1409	1098
Zm00001eb002230		11	5	8	6	4	5
Zm00001eb002240		32	20	36	12	42	24
Zm00001eb002250		2	8	10	0	9	6
Zm00001eb002260		1141	1252	1309	497	898	802
Zm00001eb002270		0	0	1	0	0	0
Zm00001eb002280		2	0	1	1	0	0
Zm00001eb002290		3	2	0	0	3	3
Zm00001eb002300		0	0	1	0	0	0
Zm00001eb002310		0	2	0	2	0	1
Zm00001eb002320		770	846	1013	422	1045	586
Zm00001eb002330		0	0	0	0	0	0
Zm00001eb002340		0	0	0	0	0	0
Zm00001eb002350		0	0	0	0	0	0
Zm00001eb002360		0	0	0	0	0	0
Zm00001eb002370		0	0	0	0	0	0
Zm00001eb002380		0	0	0	0	1	0
Zm00001eb002390		546	438	485	1945	1583	3117
Zm00001eb002400		705	556	739	2152	1973	4089
Zm00001eb002410		0	0	0	0	0	0
Zm00001eb002420		116	267	259	80	241	100
Zm00001eb002430		749	759	817	409	504	544
Zm00001eb002440		14	10	26	5	16	8
Zm00001eb002450		104	119	135	46	128	88
Zm00001eb002460		180	146	171	82	125	129
Zm00001eb002470		12	16	24	11	33	24
Zm00001eb002480		0	0	0	0	0	0
Zm00001eb002490		405	409	478	208	268	305
Zm00001eb002500		0	0	0	0	0	0
Zm00001eb002510		32	124	93	22	66	9
Zm00001eb002520		522	384	693	190	859	366
Zm00001eb002530		5360	5971	5478	2774	3336	3461
Zm00001eb002540		179	123	193	92	153	121
Zm00001eb002550		285	227	268	105	167	169
Zm00001eb002560		180	178	249	89	166	113
Zm00001eb002570		37	82	96	38	83	139
Zm00001eb002580		3	2	0	0	3	0
Zm00001eb002590		0	4	2	1	0	0
Zm00001eb002600		1	0	0	0	0	0
Zm00001eb002610		365	449	505	207	278	267
Zm00001eb002620		0	6	0	3	6	3
Zm00001eb002630		0	0	0	0	0	0
Zm00001eb002640		1978	1790	2726	556	2230	986
Zm00001eb002650		0	0	0	0	0	0
Zm00001eb002660		5	8	2	7	3	6
Zm00001eb002670		0	0	0	2	0	0
Zm00001eb002680		76	84	78	205	141	153
Zm00001eb002690		1	5	8	6	22	11
Zm00001eb002700		0	1	1	9	6	16
Zm00001eb002710		0	0	0	1	0	0
Zm00001eb002720		0	0	0	0	0	0
Zm00001eb002730		0	0	0	0	0	0
Zm00001eb002740		729	1123	804	110	349	187
Zm00001eb002750		0	0	0	0	0	0
Zm00001eb002760		41	11	23	17	9	15
Zm00001eb002770		0	0	0	0	0	0
Zm00001eb002780		0	3	0	0	1	1
Zm00001eb002790		0	0	1	0	0	0
Zm00001eb002800		0	0	0	0	1	0
Zm00001eb002810		11	31	66	22	98	30
Zm00001eb002820		208	191	231	104	182	155
Zm00001eb002830		0	0	0	0	0	0
Zm00001eb002840		1	1	0	1	0	0
Zm00001eb002850		19	15	43	10	32	17
Zm00001eb002860		0	0	0	0	0	0
Zm00001eb002870		49	46	56	43	46	51
Zm00001eb002880		0	0	0	1	0	0
Zm00001eb002890		0	0	0	0	0	0
Zm00001eb002900		0	0	0	0	1	0
Zm00001eb002910		0	0	0	0	0	0
Zm00001eb002920		5	8	10	4	7	7
Zm00001eb002930		201	136	216	78	68	93
Zm00001eb002940		265	318	372	110	223	173
Zm00001eb002950		24	21	28	157	118	182
Zm00001eb002960		904	1218	1493	493	1648	758
Zm00001eb002970		0	0	0	1	0	0
Zm00001eb002980		0	0	0	0	0	0
Zm00001eb002990		31	36	17	0	0	2
Zm00001eb003000		90	112	137	58	115	128
Zm00001eb003010		253	271	347	133	163	176
Zm00001eb003020		333	433	482	148	244	271
Zm00001eb003030		337	337	351	155	221	234
Zm00001eb003040		0	3	3	6	8	4
Zm00001eb003050		0	0	0	0	0	0
Zm00001eb003060		0	1	0	0	0	0
Zm00001eb003070		27	23	25	16	51	18
Zm00001eb003080		45	46	102	57	113	96
Zm00001eb003090		7	6	12	3	11	7
Zm00001eb003100		1	0	0	0	0	0
Zm00001eb003110		27	26	48	17	37	25
Zm00001eb003120		7	37	25	40	59	53
Zm00001eb003130		53	60	61	23	51	56
Zm00001eb003140		3	7	9	2	5	4
Zm00001eb003150		0	0	0	1	0	1
Zm00001eb003160		0	0	0	0	0	0
Zm00001eb003170		0	2	2	0	9	1
Zm00001eb003180		6575	5889	8236	2091	7823	3633
Zm00001eb003190		13	30	70	22	35	47
Zm00001eb003200		22	15	31	45	20	17
Zm00001eb003210		6	4	0	6	1	2
Zm00001eb003220		0	1	3	2	1	0
Zm00001eb003230		0	0	0	0	0	1
Zm00001eb003240		0	0	0	0	0	0
Zm00001eb003250		0	0	0	0	0	0
Zm00001eb003260		0	0	0	2	0	0
Zm00001eb003270		2	0	0	10	0	0
Zm00001eb003280		0	0	0	4	0	0
Zm00001eb003290		0	0	0	0	0	0
Zm00001eb003300		0	0	0	0	0	0
Zm00001eb003310		95	111	97	0	42	33
Zm00001eb003320		60	70	84	39	82	52
Zm00001eb003330		22	35	41	16	35	13
Zm00001eb003340		39	42	42	6	42	14
Zm00001eb003350		4149	4245	5044	1182	3179	2040
Zm00001eb003360		556	535	531	650	904	853
Zm00001eb003370		0	0	0	0	0	0
Zm00001eb003380		0	0	0	0	0	0
Zm00001eb003390		0	0	0	0	0	0
Zm00001eb003400		70	188	128	141	276	196
Zm00001eb003410		0	0	0	0	0	0
Zm00001eb003420		1073	854	1298	229	1031	533
Zm00001eb003430		1	0	1	0	2	0
Zm00001eb003440		47	70	77	39	83	60
Zm00001eb003450		2	3	3	4	1	1
Zm00001eb003460		8	30	36	15	8	10
Zm00001eb003470		0	0	0	0	0	0
Zm00001eb003480		1890	2426	2156	738	903	1197
Zm00001eb003490		1726	2861	3714	1431	2808	3347
Zm00001eb003500		0	0	0	0	0	0
Zm00001eb003510		358	368	384	190	280	265
Zm00001eb003520		3	2	3	1	2	1
Zm00001eb003530		0	0	0	0	0	0
Zm00001eb003540		150	209	361	307	320	364
Zm00001eb003550		1483	1716	1694	606	959	1001
Zm00001eb003560		4	0	0	0	0	0
Zm00001eb003570		0	0	0	1	0	0
Zm00001eb003580		49	78	90	30	87	61
Zm00001eb003590		0	0	0	0	0	0
Zm00001eb003600		0	0	0	0	0	0
Zm00001eb003610		0	0	0	0	0	0
Zm00001eb003620		0	0	0	0	0	0
Zm00001eb003630		0	0	0	0	0	0
Zm00001eb003640		0	0	0	0	0	0
Zm00001eb003650		350	518	535	230	489	399
Zm00001eb003660		0	0	0	0	0	0
Zm00001eb003670		99	80	108	37	73	46
Zm00001eb003680		0	0	0	0	0	0
Zm00001eb003690		372	330	508	160	426	279
Zm00001eb003700		132	33	55	122	14	51
Zm00001eb003710		0	0	0	0	0	0
Zm00001eb003720		0	0	0	0	0	0
Zm00001eb003730		14	50	76	258	87	277
Zm00001eb003740		3	3	6	7	1	2
Zm00001eb003750		75	94	90	26	37	31
Zm00001eb003760		221	228	370	153	157	149
Zm00001eb003770		3	9	15	0	0	0
Zm00001eb003780		57	74	102	54	79	78
Zm00001eb003790		2	12	7	2	1	0
Zm00001eb003800		30	8	9	1	5	1
Zm00001eb003810		672	686	614	683	394	674
Zm00001eb003820		95	24	13	1	65	1
Zm00001eb003830		583	672	807	288	593	647
Zm00001eb003840		1751	1867	1812	583	996	810
Zm00001eb003850		68	55	58	21	47	52
Zm00001eb003860		47	22	39	52	2	12
Zm00001eb003870		64	73	83	42	65	59
Zm00001eb003880		254	247	376	157	213	184
Zm00001eb003890		36	9	28	4	14	15
Zm00001eb003900		81	100	125	54	51	70
Zm00001eb003910		0	0	0	0	0	0
Zm00001eb003920		0	0	0	0	0	0
Zm00001eb003930		35	54	44	9	38	14
Zm00001eb003940		0	0	0	0	1	0
Zm00001eb003950		0	0	0	0	0	0
Zm00001eb003960		560	546	470	564	875	560
Zm00001eb003970		226	258	292	130	187	178
Zm00001eb003980		0	0	0	1	0	0
Zm00001eb003990		0	3	2	5	1	1
Zm00001eb004000		0	0	1	0	0	0
Zm00001eb004010		0	0	0	0	0	0
Zm00001eb004020		0	0	0	0	0	0
Zm00001eb004030		698	788	1043	262	1057	522
Zm00001eb004040		0	0	0	0	0	0
Zm00001eb004050		41	31	50	23	29	21
Zm00001eb004060		0	0	0	0	0	0
Zm00001eb004070		0	0	0	0	0	0
Zm00001eb004080		0	0	0	0	0	0
Zm00001eb004090		470	570	588	255	556	398
Zm00001eb004100		0	0	0	0	0	0
Zm00001eb004110		0	0	0	0	0	0
Zm00001eb004120		895	935	986	368	644	568
Zm00001eb004130		0	0	1	0	0	0
Zm00001eb004140		387	459	475	214	479	288
Zm00001eb004150		0	1	0	0	0	0
Zm00001eb004160		899	1001	1081	314	738	622
Zm00001eb004170		1841	1772	2407	543	1456	1147
Zm00001eb004180		23	11	24	27	33	28
Zm00001eb004190		270	195	256	90	203	142
Zm00001eb004200		1	0	0	0	1	0
Zm00001eb004210		91	74	79	82	93	87
Zm00001eb004220		0	0	0	0	0	0
Zm00001eb004230		0	0	0	0	0	0
Zm00001eb004240		273	287	418	160	306	265
Zm00001eb004250		116	156	168	70	120	108
Zm00001eb004260		0	0	0	0	0	0
Zm00001eb004270		0	0	1	2	0	0
Zm00001eb004280		0	0	0	0	0	0
Zm00001eb004290		2115	2294	2628	979	1370	1580
Zm00001eb004300		0	0	1	0	1	0
Zm00001eb004310		415	343	535	96	278	186
Zm00001eb004320		517	392	551	304	336	371
Zm00001eb004330		5	8	11	4	6	6
Zm00001eb004340		141	211	182	67	170	110
Zm00001eb004350		0	0	0	0	0	0
Zm00001eb004360		0	0	0	0	0	0
Zm00001eb004370		1792	1825	1640	782	977	1015
Zm00001eb004380		0	0	0	0	0	0
Zm00001eb004390		0	0	0	0	0	0
Zm00001eb004400		1437	2066	1829	718	1803	1241
Zm00001eb004410		2	0	1	0	0	1
Zm00001eb004420		13129	15323	19188	17857	9453	18485
Zm00001eb004430		4	12	6	3	4	7
Zm00001eb004440		15	15	26	12	8	15
Zm00001eb004450		0	0	0	0	0	0
Zm00001eb004460		0	0	0	0	0	0
Zm00001eb004470		0	1	1	0	2	1
Zm00001eb004480		86	97	109	45	69	64
Zm00001eb004490		327	218	384	159	98	100
Zm00001eb004500		308	394	419	176	160	214
Zm00001eb004510		48	32	58	13	11	28
Zm00001eb004520		0	0	0	0	2	0
Zm00001eb004530		0	1	0	0	0	0
Zm00001eb004540		8	15	22	8	20	18
Zm00001eb004550		43	18	25	18	26	18
Zm00001eb004560		73	73	101	42	77	58
Zm00001eb004570		23	15	15	13	23	18
Zm00001eb004580		0	0	0	0	0	0
Zm00001eb004590		181	248	207	98	116	122
Zm00001eb004600		0	0	0	0	0	0
Zm00001eb004610		0	0	0	0	0	0
Zm00001eb004620		0	0	0	0	0	0
Zm00001eb004630		4	12	22	6	26	22
Zm00001eb004640		0	0	0	0	0	0
Zm00001eb004650		2	1	5	9	6	3
Zm00001eb004660		1061	1053	1034	501	944	723
Zm00001eb004670		0	1	0	0	1	0
Zm00001eb004680		0	0	0	0	0	1
Zm00001eb004690		0	0	1	0	0	0
Zm00001eb004700		111	123	136	38	73	66
Zm00001eb004710		1	0	0	0	0	0
Zm00001eb004720		0	3	0	0	0	0
Zm00001eb004730		0	0	0	0	0	0
Zm00001eb004740		1	0	0	0	0	0
Zm00001eb004750		0	1	1	1	1	1
Zm00001eb004760		0	0	0	0	0	0
Zm00001eb004770		303	290	376	136	131	161
Zm00001eb004780		597	454	663	209	398	321
Zm00001eb004790		509	496	550	214	528	330
Zm00001eb004800		0	0	0	0	0	0
Zm00001eb004810		0	0	0	0	0	0
Zm00001eb004820		0	0	0	0	0	0
Zm00001eb004830		0	0	0	0	0	0
Zm00001eb004840		0	0	0	0	0	0
Zm00001eb004850		0	0	0	0	0	0
Zm00001eb004860		0	0	0	0	0	0
Zm00001eb004870		0	0	0	0	0	0
Zm00001eb004880		0	0	0	0	0	0
Zm00001eb004890		0	0	0	1	1	0
Zm00001eb004900		0	0	0	0	0	1
Zm00001eb004910		0	22	33	0	21	16
Zm00001eb004920		0	81	73	0	40	29
Zm00001eb004930		0	0	1	0	0	2
Zm00001eb004940		980	1051	1050	432	439	511
Zm00001eb004950		0	0	0	0	0	0
Zm00001eb004960		3	3	4	4	3	3
Zm00001eb004970		0	0	0	0	0	0
Zm00001eb004980		0	0	0	0	0	0
Zm00001eb004990		168	194	208	68	162	125
Zm00001eb005000		166	187	245	117	175	161
Zm00001eb005010		199	330	401	60	323	103
Zm00001eb005020		0	0	0	0	3	0
Zm00001eb005030		451	598	810	483	939	648
Zm00001eb005040		0	0	0	0	0	0
Zm00001eb005050		0	2	0	1	2	2
Zm00001eb005060		8	5	16	8	11	5
Zm00001eb005070		1357	1962	1655	753	916	1064
Zm00001eb005080		0	0	0	0	0	0
Zm00001eb005090		0	0	0	0	0	0
Zm00001eb005100		429	358	931	207	491	212
Zm00001eb005110		0	0	0	0	0	0
Zm00001eb005120		57	65	68	25	28	38
Zm00001eb005130		265	147	462	173	703	311
Zm00001eb005140		1684	1317	1831	482	1508	834
Zm00001eb005150		0	0	0	0	0	0
Zm00001eb005160		0	0	0	0	0	0
Zm00001eb005170		2	2	5	3	3	4
Zm00001eb005180		0	0	0	0	0	2
Zm00001eb005190		28	27	32	25	12	39
Zm00001eb005200		22	254	41	6	262	10
Zm00001eb005210		0	1	0	0	0	2
Zm00001eb005220		1164	1576	1681	498	1018	890
Zm00001eb005230		37	52	75	25	42	32
Zm00001eb005240		0	0	0	0	0	0
Zm00001eb005250		0	0	3	2	2	1
Zm00001eb005260		0	0	0	0	0	0
Zm00001eb005270		713	821	540	264	404	348
Zm00001eb005280		134	245	173	84	113	143
Zm00001eb005290		0	2	0	0	1	0
Zm00001eb005300		0	0	0	0	0	0
Zm00001eb005310		3	1	7	1	11	2
Zm00001eb005320		90	116	120	41	80	61
Zm00001eb005330		298	359	427	131	249	257
Zm00001eb005340		115	235	191	114	100	122
Zm00001eb005350		8	25	33	2	22	9
Zm00001eb005360		25	24	27	6	15	11
Zm00001eb005370		426	356	459	116	291	230
Zm00001eb005380		4	15	19	11	16	21
Zm00001eb005390		87	79	90	45	55	56
Zm00001eb005400		393	427	432	169	307	257
Zm00001eb005410		0	0	0	0	0	0
Zm00001eb005420		80	75	67	28	46	44
Zm00001eb005430		1339	783	1154	536	778	734
Zm00001eb005440		0	2	7	3	1	13
Zm00001eb005450		0	0	0	0	1	0
Zm00001eb005460		45	95	97	5	122	157
Zm00001eb005470		0	0	0	0	0	0
Zm00001eb005480		0	0	0	0	0	0
Zm00001eb005490		0	0	0	0	0	0
Zm00001eb005500		0	0	0	0	0	0
Zm00001eb005510		0	1	1	0	0	1
Zm00001eb005520		0	0	0	0	0	0
Zm00001eb005530		427	479	509	323	300	309
Zm00001eb005540		0	0	1	0	0	1
Zm00001eb005550		1661	1287	1617	3371	3473	4663
Zm00001eb005560		1	0	1	7	4	7
Zm00001eb005570		0	0	0	0	1	0
Zm00001eb005580		1	0	0	0	0	0
Zm00001eb005590		21	9	4	2	0	2
Zm00001eb005600		13	16	36	13	46	26
Zm00001eb005610		0	0	0	0	0	0
Zm00001eb005620		0	0	1	0	0	0
Zm00001eb005630		712	914	799	236	592	369
Zm00001eb005640		135	74	122	83	116	121
Zm00001eb005650		1	0	0	0	0	0
Zm00001eb005660		3809	2685	3770	916	2244	1448
Zm00001eb005670		331	228	304	91	179	168
Zm00001eb005680		6	5	9	5	5	7
Zm00001eb005690		459	258	288	244	303	384
Zm00001eb005700		547	546	804	330	349	370
Zm00001eb005710		591	456	417	288	309	415
Zm00001eb005720		1	2	0	0	0	0
Zm00001eb005730		0	3	2	4	6	3
Zm00001eb005740		146	158	96	104	63	87
Zm00001eb005750		0	0	0	0	0	0
Zm00001eb005760		64	39	62	27	80	60
Zm00001eb005770		56	95	84	53	57	76
Zm00001eb005780		0	0	0	0	0	0
Zm00001eb005790		0	0	0	0	0	0
Zm00001eb005800		0	0	0	0	0	0
Zm00001eb005810		0	0	1	1	4	0
Zm00001eb005820		74	91	128	115	161	179
Zm00001eb005830		3	1	1	3	1	3
Zm00001eb005840		720	866	978	378	895	629
Zm00001eb005850		4	6	12	7	23	6
Zm00001eb005860		65	55	60	26	67	35
Zm00001eb005870		0	0	0	0	1	0
Zm00001eb005880		0	0	0	0	0	0
Zm00001eb005890		0	0	0	0	0	0
Zm00001eb005900		1	1	2	1	0	3
Zm00001eb005910		0	0	0	0	0	0
Zm00001eb005920		0	2	6	1	9	4
Zm00001eb005930		0	1	0	0	0	0
Zm00001eb005940		0	0	0	0	0	0
Zm00001eb005950		193	197	286	128	249	198
Zm00001eb005960		842	1139	1189	392	916	587
Zm00001eb005970		44	59	52	20	30	31
Zm00001eb005980		7	8	4	2	1	0
Zm00001eb005990		151	51	91	125	61	87
Zm00001eb006000		95	50	137	40	60	25
Zm00001eb006010		70	69	69	20	59	27
Zm00001eb006020		9	50	81	128	143	104
Zm00001eb006030		0	0	0	0	0	0
Zm00001eb006040		1018	965	914	331	179	367
Zm00001eb006050		0	1	1	3	5	5
Zm00001eb006060		0	0	0	0	0	0
Zm00001eb006070		0	0	0	0	0	0
Zm00001eb006080		47	80	117	46	86	87
Zm00001eb006090		0	1	1	0	0	1
Zm00001eb006100		19	33	18	10	19	13
Zm00001eb006110		4	2	2	1	3	2
Zm00001eb006120		7	16	4	1	1	3
Zm00001eb006130		0	0	0	0	0	0
Zm00001eb006140		59	39	87	20	18	24
Zm00001eb006150		781	676	843	255	577	335
Zm00001eb006160		5	7	24	83	88	48
Zm00001eb006170		6	11	12	9	4	2
Zm00001eb006180		0	3	2	1	6	0
Zm00001eb006190		1	1	0	1	4	1
Zm00001eb006200		0	0	0	1	3	1
